"","Alkaloid_biosynthesis","Alkene_metabolism","Amine_and_polyamine_degradation","Amino.acid_biosynthesis","Amino.sugar_metabolism","Aminoacyl.tRNA_biosynthesis","Antibiotic_biosynthesis","Antifungal_biosynthesis","Aromatic_compound_metabolism","Carbohydrate_acid_metabolism","Carbohydrate_degradation","Cell_surface_structure_biogenesis","Cofactor_metabolism","Energy_metabolism","Exopolysaccharide_biosynthesis","Glycan_metabolism","Glycerolipid_metabolism","Ketone_metabolism","Membrane_lipid_metabolism","Metabolic_intermediate_biosynthesis","Phospholipid_metabolism.","Photosynthesis","Plant_hormone_metabolism","Porphyrin.containing_compound_metabolism","Protein_biosynthesis","Pyrimidine_metabolism","Slime_biogenesis","Sulfur_metabolism","Terpene_metabolism","Xenobiotic_degradation","Xenobiotic_degradation."
"CH0012",-0.474821479243596,-0.474821479243596,0.243006427117114,2.51500287623616,-0.228134356661335,0.0306712724129277,0.0673399359376843,-0.474821479243596,1.45599724985932,0.172985288478447,1.01399705256798,-0.474821479243596,-0.474821479243596,-0.453989444961617,-0.474821479243596,-0.303995557790934,-0.474821479243596,-0.465092117120422,-0.383394834204515,0.8655818293584,-0.474821479243596,-0.474821479243596,-0.474821479243596,0.868037320208493,-0.371872817126826,0.952517350765145,-0.474821479243596,0.176880803257872,-0.474821479243596,0.342517795612947,-0.474821479243596
"TT0019",-0.373651756614619,-0.374381721984928,-0.340350455830049,3.11263037966196,0.0768682703077772,0.176181791762784,-0.0610588215901409,-0.374381721984928,-0.120842499019735,-0.35403640249683,1.81375767368755,-0.374381721984928,-0.37416302104144,-0.368683909514197,-0.374381721984928,-0.357307391241249,-0.374381721984928,-0.374381721984928,-0.256224789979033,1.05832734365521,-0.357594244729651,-0.372167784545847,-0.374381721984928,0.12548244265945,-0.228283319701764,1.47762303067132,-0.374381721984928,-0.268812110924995,-0.374381721984928,-0.271502397122719,-0.374381721984928
"TT0006",-0.440636547560535,-0.440636547560535,-0.161500841607739,2.70289970920766,0.173253138798763,0.114199459663545,-0.076489236085858,-0.440636547560535,0.484591257492519,-0.194982416769803,1.39632594100666,-0.440636547560535,-0.440636547560535,-0.431381966375905,-0.440636547560535,-0.252012612268302,-0.440636547560535,-0.440636547560535,-0.357663034287959,0.856229788352812,-0.440636547560535,-0.437741068687331,-0.440636547560535,1.17302561367607,-0.29059477025279,1.38838280220907,-0.439588907471328,0.169246103864582,-0.440636547560535,-0.202152314438787,-0.440636547560535
"TT0065",-0.480026624872271,-0.480026624872271,0.520139856112769,2.31218552733015,-0.453500289733645,-0.18164225290103,0.215947630579666,-0.480026624872271,1.64444912143346,0.263618190692986,0.509108480449251,-0.480026624872271,-0.480026624872271,-0.448604530514502,-0.480026624872271,-0.245387610771436,-0.480026624872271,-0.480026624872271,-0.479537572347643,0.85344491442653,-0.480026624872271,-0.480026624872271,-0.480026624872271,0.826288389129295,-0.361587444314119,0.720743903555555,-0.480026624872271,0.208993749793942,-0.480026624872271,0.361570817668864,-0.480026624872271
"TT0015",-0.229800160868116,-0.229800160868116,-0.229800160868116,2.28587370616469,0.9147533899312,-0.229800160868116,-0.229800160868116,-0.229800160868116,1.62550257945567,-0.229800160868116,-0.229800160868116,-0.229800160868116,-0.229800160868116,0.6809356991986,-0.229800160868116,-0.229800160868116,-0.229800160868116,-0.229800160868116,-0.229800160868116,1.90715679687171,-0.229800160868116,-0.229800160868116,-0.229800160868116,-0.229800160868116,-0.229800160868116,2.66928112967817,-0.229800160868116,-0.229800160868116,-0.229800160868116,-0.229800160868116,-0.229800160868116
"TT0011",-0.399040985525479,-0.401283348581225,-0.317768282162907,2.98557232460403,0.184845814932109,0.298023604301195,-0.357969380338787,-0.401504348237238,-0.0723419385862956,-0.367392066510016,1.52558326986824,-0.401504348237238,-0.397998020185539,-0.365317985474052,-0.401504348237238,-0.386612603166217,-0.401504348237238,-0.401504348237238,-0.32084255759384,0.848932796101014,-0.399172015566831,-0.401504348237238,-0.401504348237238,1.031632173005,-0.226562601658814,1.49109285496491,-0.401329464048152,0.0522669022737876,-0.401504348237238,-0.375679319552582,-0.401504348237238
"CH0016",-0.49405974634851,-0.49405974634851,0.42292756277203,2.42337701387167,0.618356120043523,0.476856601948715,-0.464238299511186,-0.49405974634851,0.944909737662766,0.271390966893246,1.4333389415497,-0.492911399716942,-0.49405974634851,-0.432977509525149,-0.49405974634851,0.0650957348652597,-0.49405974634851,-0.49405974634851,-0.35922663161982,0.848806309773968,-0.49405974634851,-0.49405974634851,-0.487709766535393,0.902423565618972,-0.382356639100895,0.887640120473806,-0.49405974634851,-0.111059027669795,-0.49405974634851,0.102259092484945,-0.49405974634851
"KL0043",-0.260344763139183,-0.260344763139183,-0.260344763139183,1.8263151003595,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,2.6070444616312,-0.260344763139183,0.794056345810259,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,1.95107722216289,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183,-0.260344763139183
"KL0022",-0.47591429262595,-0.47591429262595,0.383212240967071,2.38743153800307,-0.207411742271612,-0.148516935207395,0.194380625582908,-0.47591429262595,1.34299219406647,0.0927107478024878,0.838803236656468,-0.47591429262595,-0.47591429262595,-0.457204841801576,-0.445093150080487,-0.275722990210241,-0.47591429262595,-0.47591429262595,-0.461189347633987,0.887619211856548,-0.47591429262595,-0.47591429262595,-0.47591429262595,1.17727472490906,-0.416524004969766,0.996121047978505,-0.47591429262595,0.216285526306333,-0.47591429262595,0.209162869669444,-0.47591429262595
"TT0038",-0.45386216223589,-0.45386216223589,-0.0336572420166261,2.68633283629014,-0.0470307682974473,-0.00313669750440404,0.0195124450535271,-0.45386216223589,1.00298740443491,0.0210160442055249,1.38789259468535,-0.452199617425292,-0.432505671803805,-0.435593911269141,-0.45386216223589,-0.398524078263458,-0.45386216223589,-0.45386216223589,-0.273337971206703,1.0292394156217,-0.45386216223589,-0.45386216223589,-0.45386216223589,0.704144535396977,-0.311709097593559,1.2246342671394,-0.45386216223589,0.0841559558054588,-0.45386216223589,-0.0305248447719597,-0.45386216223589
