,params,mean_train_Acc,mean_train_F1,mean_train_F2,mean_test_Acc,mean_test_F1,mean_test_F2
0,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.6321381779158449,0.44927807111467094,0.5426713911930331,0.4926118813445511,0.29525386879897025,0.3559604097210901
1,"{'C': 0.99, 'penalty': 'l1', 'solver': 'liblinear'}",0.6323312099309109,0.4494775500546366,0.5430341940714756,0.49158095350949954,0.29375977048730134,0.35415934781499014
2,"{'C': 0.98, 'penalty': 'l1', 'solver': 'liblinear'}",0.6323312099309109,0.44946441832512624,0.5430249158025964,0.49269779199747205,0.29498297454555694,0.3558515273422213
3,"{'C': 0.97, 'penalty': 'l1', 'solver': 'liblinear'}",0.6322632092996002,0.449423098407997,0.5432373060527577,0.49236007425840345,0.2946816264091573,0.3556738456580234
4,"{'C': 0.96, 'penalty': 'l1', 'solver': 'liblinear'}",0.6323639880444467,0.4495592561326838,0.5435572710419406,0.49236007425840345,0.2946816264091573,0.3556738456580234
5,"{'C': 0.95, 'penalty': 'l1', 'solver': 'liblinear'}",0.6326342583147169,0.4498738739812419,0.5439802968241712,0.49236007425840345,0.2946816264091573,0.3556738456580234
6,"{'C': 0.94, 'penalty': 'l1', 'solver': 'liblinear'}",0.6325502247012715,0.4497960487285065,0.5439339793759703,0.4934769127463759,0.29604245115142536,0.35746094933435096
7,"{'C': 0.9299999999999999, 'penalty': 'l1', 'solver': 'liblinear'}",0.6324661910878262,0.44969302521226917,0.5438795157245377,0.4945651143500414,0.2972861101270431,0.35914271544910675
8,"{'C': 0.92, 'penalty': 'l1', 'solver': 'liblinear'}",0.6329219858656548,0.4502169846687956,0.5446689158040868,0.4945651143500414,0.2972861101270431,0.35914271544910675
9,"{'C': 0.91, 'penalty': 'l1', 'solver': 'liblinear'}",0.6330227646105014,0.4503226562253385,0.5449698878990874,0.4945651143500414,0.2972861101270431,0.35914271544910675
10,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.6324982570520955,0.4497567698844182,0.5443953555162001,0.4942273966109728,0.2969764242951699,0.3589828164379559
11,"{'C': 0.89, 'penalty': 'l1', 'solver': 'liblinear'}",0.6319562922130221,0.4491933271619634,0.5435734786797803,0.4942273966109728,0.2969764242951699,0.3589828164379559
12,"{'C': 0.88, 'penalty': 'l1', 'solver': 'liblinear'}",0.6320410379757339,0.4492586873483869,0.5436223023542018,0.49388967887190416,0.2968222646941254,0.3589035684983
13,"{'C': 0.87, 'penalty': 'l1', 'solver': 'liblinear'}",0.6314089563142405,0.44855781975862685,0.5427262137053404,0.4935546273255125,0.2964872131477337,0.358714059705092
14,"{'C': 0.86, 'penalty': 'l1', 'solver': 'liblinear'}",0.6313242105515287,0.44845781503702675,0.5426670122654669,0.4950065173598767,0.2982098729273186,0.3607359156202166
15,"{'C': 0.85, 'penalty': 'l1', 'solver': 'liblinear'}",0.6311629386828789,0.4482838752701908,0.5425722843957669,0.49466287474819287,0.2980213258164852,0.3605865302498589
16,"{'C': 0.84, 'penalty': 'l1', 'solver': 'liblinear'}",0.6313498874889703,0.44850070730629377,0.5429454033899259,0.49466287474819287,0.2980213258164852,0.3605865302498589
17,"{'C': 0.83, 'penalty': 'l1', 'solver': 'liblinear'}",0.6318056822667989,0.44899702259328644,0.543719333963459,0.4935746731445274,0.2967154838920866,0.3588508240720666
18,"{'C': 0.8200000000000001, 'penalty': 'l1', 'solver': 'liblinear'}",0.6318063944160653,0.4489884779608817,0.5437169184024555,0.49460560097957895,0.29841138249520166,0.3607556304037983
19,"{'C': 0.81, 'penalty': 'l1', 'solver': 'liblinear'}",0.631830647054974,0.4490118163846652,0.5439689620694721,0.49459967610696365,0.29847657951243817,0.3608033094038767
20,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.6329957617495006,0.45032236396688213,0.5456922902642826,0.4945910850416716,0.2985647901935482,0.360840474836126
21,"{'C': 0.79, 'penalty': 'l1', 'solver': 'liblinear'}",0.6323804252194083,0.449686208208318,0.5450742045196548,0.49358059801714266,0.2980447674630949,0.36051322310354794
22,"{'C': 0.78, 'penalty': 'l1', 'solver': 'liblinear'}",0.6322116458432511,0.44952215901222736,0.5449716678265125,0.4953501599715606,0.2996825012188521,0.3624591890747191
23,"{'C': 0.77, 'penalty': 'l1', 'solver': 'liblinear'}",0.6322102215447181,0.4494830323000189,0.5449594275871306,0.4950151084251689,0.2993732228683367,0.36227683155672646
24,"{'C': 0.76, 'penalty': 'l1', 'solver': 'liblinear'}",0.632056763001429,0.4493770859365083,0.5451320616170755,0.4953528261642374,0.2996102978382091,0.362429103628015
25,"{'C': 0.75, 'penalty': 'l1', 'solver': 'liblinear'}",0.6326806250061484,0.4500481483033533,0.5459979193852188,0.4956878777106292,0.29975363539816274,0.36253895659404506
26,"{'C': 0.74, 'penalty': 'l1', 'solver': 'liblinear'}",0.6325118456299912,0.44987853944215567,0.5458952843887794,0.4956878777106292,0.29975363539816274,0.36253895659404506
27,"{'C': 0.73, 'penalty': 'l1', 'solver': 'liblinear'}",0.6331371319332436,0.45056575400249693,0.5467724380472967,0.49677607931429474,0.30105947732256144,0.3642746627718374
28,"{'C': 0.72, 'penalty': 'l1', 'solver': 'liblinear'}",0.6327148274182173,0.45011198490299664,0.5465076589527734,0.4984824426274835,0.30295450478459923,0.36630948251312423
29,"{'C': 0.71, 'penalty': 'l1', 'solver': 'liblinear'}",0.6329170970571769,0.4503709375078659,0.5471405285360468,0.4973656041395109,0.30128586862470347,0.3643401999547401
30,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.6330374695304904,0.4505165387667549,0.5476988862588901,0.49669283485405064,0.3007360760197786,0.364017353540323
