Features,value,group
Stenotrophomonas maltophilia,3.67487202499,1
Streptococcus pneumoniae,3.87461962945,0
Raoultella terrigena,3.6579484934,1
Salmonella enterica,3.48194936043,1
Prevotella jejuni,3.56214488209,0
Haemophilus haemolyticus,3.21377532612,0
Streptococcus intermedius,3.36286520445,0
Klebsiella oxytoca,3.61284489826,1
Haemophilus parahaemolyticus,3.58140837686,0
Pseudomonas aeruginosa,4.73550389746,1
Streptococcus mitis,4.12548748404,0
Haemophilus influenzae,4.72618673746,0
Streptococcus cristatus,3.25885460421,0
Fusobacterium nucleatum,3.42384620419,0
Neisseria flavescens,3.45038904457,0
Desulfomicrobium orale,3.7963582384,0
Haemophilus parainfluenzae,3.61859367795,1
Klebsiella quasipneumoniae,3.74080408189,1
Streptococcus oralis,3.70540813576,0
Klebsiella aerogenes,3.5215235753,1
Enterobacter kobei,4.63696215801,1
Klebsiella pneumoniae,4.4761505538,1
Gemella haemolysans,3.85424154073,0
