SampleID	Candida_albicans	Leuconostoc_mesenteroides	Raoultella_terrigena	Desulfomicrobium_orale	Candida_parapsilosis	Tropheryma_whipplei	Porphyromonas_gingivalis	Tannerella_forsythia	Staphylococcus_argenteus	Fusobacterium_pseudoperiodonticum	Serratia_sp._P2ACOL2	Neisseria_sp._oral_taxon_014	Haemophilus_influenzae	Pseudomonas_aeruginosa	Haemophilus_aegyptius	Campylobacter_rectus	Olsenella_sp._oral_taxon_807	Burkholderia_cenocepacia	Leuconostoc_lactis	Photobacterium_aquimaris	Mycoplasma_salivarium	Prevotella_jejuni	Mogibacterium_diversum	Abiotrophia_defectiva	Filifactor_alocis	Corynebacterium_striatum	Anaerolineaceae_bacterium_oral_taxon_439	Prevotella_melaninogenica	Actinomyces_sp._oral_taxon_897	Candida_dubliniensis	Lautropia_mirabilis	Neisseria_bacilliformis	Klebsiella_aerogenes	Corynebacterium_argentoratense	Acetobacter_syzygii	Klebsiella_variicola	Capnocytophaga_sputigena	Actinomyces_sp._oral_taxon_414	Serratia_marcescens	Malassezia_restricta	Moraxella_catarrhalis	Leptotrichia_wadei	Klebsiella_quasipneumoniae	Achromobacter_xylosoxidans	Cloacibacterium_normanense	Gemella_morbillorum	Parvimonas_micra	Pseudopropionibacterium_propionicum	Campylobacter_showae	Streptococcus_sp._oral_taxon_431	Cupriavidus_gilardii	Fusobacterium_nucleatum	Dolosigranulum_pigrum	Bacteroides_zoogleoformans	Gemella_sanguinis	Streptococcus_sanguinis	Babesia_bigemina	Lactobacillus_parabuchneri	Leptotrichia_hongkongensis	Proteus_mirabilis	Streptococcus_australis	Corynebacterium_matruchotii	Streptococcus_salivarius	Neisseria_mucosa	Stenotrophomonas_maltophilia	Capnocytophaga_gingivalis	Staphylococcus_aureus	Enterobacter_ludwigii	Lactococcus_lactis	Serratia_liquefaciens	Rothia_dentocariosa	Serratia_nematodiphila	Kingella_kingae	Enterobacter_hormaechei	Gemella_haemolysans	Corynebacterium_kroppenstedtii	Prevotella_scopos	Streptococcus_intermedius	Prevotella_sp._oral_taxon_299	Pantoea_ananatis	Pasteurella_multocida	Streptococcus_agalactiae	Treponema_denticola	Haemophilus_parainfluenzae	Aggregatibacter_segnis	Haemophilus_parahaemolyticus	Neisseria_subflava	Prevotella_denticola	Prevotella_intermedia	Lactobacillus_rhamnosus	Neisseria_cinerea	Streptococcus_pneumoniae	Lactobacillus_paracasei	Campylobacter_concisus	Micrococcus_luteus	Streptococcus_gordonii	Klebsiella_pneumoniae	Lactobacillus_salivarius	Capnocytophaga_leadbetteri	Streptococcus_sp._I-P16	Streptococcus_mitis	Schaalia_odontolytica	Streptococcus_cristatus	Streptococcus_thermophilus	Bifidobacterium_longum	Fusobacterium_periodonticum	Rothia_mucilaginosa	Neisseria_elongata	Enterobacter_asburiae	Escherichia_coli	Serratia_plymuthica	Neisseria_flavescens	Streptococcus_oralis	Enterobacter_kobei	Aggregatibacter_aphrophilus	Haemophilus_haemolyticus	Babesia_ovata	Neisseria_meningitidis	Actinomyces_oris	Veillonella_dispar	Veillonella_atypica	Xylella_fastidiosa	Streptococcus_pyogenes	Serratia_fonticola	Lactobacillus_jensenii	Streptococcus_parasanguinis	Streptococcus_vestibularis	Bacillus_coagulans	Clostridium_botulinum	Neisseria_sicca	Listeria_monocytogenes	Veillonella_parvula	Lactobacillus_saerimneri	Babjeviella_inositovora	Corynebacterium_diphtheriae	Treponema_socranskii	Atopobium_parvulum	Propionibacterium_freudenreichii	Lachnospiraceae_bacterium_oral_taxon_500	Streptococcus_anginosus	Eikenella_corrodens	Lawsonella_clevelandensis	Empedobacter_brevis	Klebsiella_oxytoca	Salmonella_enterica	Streptococcus_constellatus	Corynebacterium_urealyticum	Pararhodospirillum_photometricum	Actinomyces_naeslundii	Serratia_proteamaculans	ExacerbatorState
SG0024	0	0	0	0.006024822267743	0	0	0.084347511748404	0.500060248222677	0	0.198819134835522	0	1.50018074466803	0.25304253524521	0.006024822267743	0.012049644535486	0.186769490300036	0.451861670080733	0.030124111338716	0	0.006024822267743	0.150620556693578	0.421737558742017	0.060248222677431	0.204843957103265	0.132546089890348	0.006024822267743	0.012049644535486	0.397638269671045	0.09639715628389	0	1.20496445354862	0.048198578141945	0.006024822267743	0	0	0.006024822267743	0.150620556693578	0.054223400409688	0	0	0	0.741053138932401	0	0	0	2.22918423906495	0.42776238100976	0.066273044945174	0.222918423906495	0.084347511748404	0	1.37365947704543	0.030124111338716	0.006024822267743	1.26521267622605	0.897698517893722	0	0	0.024099289070972	0	0.355464513796843	0.783226894806603	0.982046029642126	0.596457404506567	0	0.108446800819376	0.120496445354862	0	0.012049644535486	0	0.421737558742017	0	0.054223400409688	0	7.10929027593686	0	0.072297867212917	0.295216291119412	0.042173755874202	0	0.066273044945174	0.518134715025907	0.361489336064586	1.60862754548741	1.0483190745873	5.39824075189782	1.63272683455838	1.15676587540668	0.3494396915291	0.012049644535486	1.07241836365827	13.0015664537896	0	0.259067357512953	0	0.385588625135559	0.07832268948066	0	0.138570912158091	0.024099289070972	25.0512109892758	0.234968068441981	0.825400650680805	0.09639715628389	0.024099289070972	0.132546089890348	4.59091456802024	0.87359922882275	0	0.024099289070972	0	2.12073743824557	6.54898180503675	0	0.192794312567779	0.650680804916255	0	0.879624051090493	0.433787203277503	0.475960959151705	0.500060248222677	0.006024822267743	0.120496445354862	0	0	1.60260272321967	0.192794312567779	0	0.012049644535486	1.25918785395831	0.006024822267743	0.403663091938788	0	0	0.024099289070972	0.216893601638752	0.036148933606459	0.006024822267743	0.030124111338716	0.283166646583926	0.222918423906495	0	0	0.018074466803229	0.006024822267743	0.036148933606459	0	0	0.240992890709724	0	0
TT0017	0	0	0	0	0	0	0	0	0	0	0	0	12.7272727272727	30.9090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.7272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81818181818182	0	0	0	0	7.27272727272727	0	0	0	1.81818181818182	3.63636363636364	0	0	0	0	1.81818181818182	0	0	0	0	21.8181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CH0001	0.008642295393657	0	0	0	0	0	0.086422953936566	0.017284590787313	0.02592688618097	0.916083311727595	0	0.069138363149253	0.691383631492524	0.095065249330222	0	0.017284590787313	0	0.02592688618097	0	0	0.069138363149253	0.674099040705211	0.406187883501858	0.069138363149253	0.008642295393657	0	0	3.52605652061187	0.138276726298505	0	0.069138363149253	0.069138363149253	0	0	0.017284590787313	0	0.25062656641604	0.008642295393657	0	0.034569181574626	0	0.760521994641777	0	0	0	0.959294788695878	0.458041655863797	0	0.043211476968283	0.077780658542909	0	1.35684037680408	0.017284590787313	0	6.28294875118832	0.259268861809697	0	0	0.034569181574626	0	0.864229539365656	0.095065249330222	0.648172154524242	2.34206205168093	0	0.769164290035433	4.28657851525365	0	0.034569181574626	0	0.138276726298505	0	0.017284590787313	0	2.38527352864921	0	0.328407224958949	0.112349840117535	0.216057384841414	0.02592688618097	0.086422953936566	0.449399360470141	0	7.44965862933195	0.449399360470141	7.67435830956702	7.05211304122375	1.44326333074064	0.362976406533575	0.043211476968283	0.267911157203353	4.80511623887305	0	0.27655345259701	0	0.155561317085818	0.034569181574626	0.008642295393657	1.95315875896638	0.043211476968283	9.18676000345692	1.01979085645147	0.267911157203353	0.103707544723879	0	0.786448880822747	6.03232218477228	0.570391495981333	0	0.155561317085818	0	9.03984098176476	1.34819808141042	0	0.181488203266788	0.769164290035433	0	3.1630801140783	0.051853772361939	0.475326246651111	0.622245268343272	0.034569181574626	0.129634430904848	0.008642295393657	0	1.34819808141042	0.051853772361939	0	0.017284590787313	1.06300233341976	0.017284590787313	0.414830178895515	0	0	0.034569181574626	0.034569181574626	0.129634430904848	0	0.017284590787313	0.181488203266788	0.22469968023507	0	0.008642295393657	0.017284590787313	0.02592688618097	0.060496067755596	0.008642295393657	0.017284590787313	0.017284590787313	0	1
KL0037	0.601503759398496	0	0	0	0	0	0	0	0	0	0	0.300751879699248	0.902255639097744	4.3609022556391	0	0	0	1.50375939849624	0	0	0	0	0	0.300751879699248	0	0.601503759398496	0	0	0	0.300751879699248	0.150375939849624	0	0	0	0	0	0	0	1.20300751879699	0.300751879699248	0.451127819548872	0.300751879699248	0.150375939849624	0	0	0	0	0	0	0	11.7293233082707	0	0	0	0.300751879699248	0	0	0	0	0.300751879699248	0	0	0.601503759398496	1.80451127819549	9.77443609022556	0	0.601503759398496	0	0	0	0.451127819548872	0	0	0.451127819548872	0.150375939849624	0	0.150375939849624	0	0	0	0	0	0	0.601503759398496	0	0	15.187969924812	0	0.75187969924812	0	1.05263157894737	0.601503759398496	0	0	0	0	3.60902255639098	0	0	0	0.300751879699248	0.150375939849624	0	0	0	0	1.20300751879699	0.75187969924812	0	2.10526315789474	0	25.8646616541353	0.75187969924812	0	0	0.601503759398496	0	5.56390977443609	0	0	0.150375939849624	0	0	0	0	0	0.150375939849624	0	0	1.35338345864662	0.451127819548872	0.150375939849624	0	0	0	0	0	0	0	0	0.451127819548872	0.451127819548872	0	0	0	0	0	0	0	0	1
AL0002	8.19672131147541	0	0	0	0	0	0	0	0	0	0	0	0	9.83606557377049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.91803278688525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19672131147541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63934426229508	0	0	0	0	0	0	0	3.27868852459016	0	8.19672131147541	0	0	0	6.55737704918033	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1147540983607	0	0	0	0	8.19672131147541	0	0	0	0	0	0	0	0	0	0	4.91803278688525	11.4754098360656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4754098360656	0	0	0	0	0	0	1
KL0029	0	0	0	0	0	0	6.14583333333333	0.3125	0	0.416666666666667	0	0	47.7083333333333	0.208333333333333	0.416666666666667	0.104166666666667	0.3125	0	0	0.208333333333333	0	0	0.208333333333333	0.3125	0.208333333333333	0	0.104166666666667	1.97916666666667	0.416666666666667	0	3.125	0.520833333333333	0.104166666666667	0	0	0	0.833333333333333	0	0	0	0	0.520833333333333	0	0	0	0.104166666666667	0.208333333333333	1.14583333333333	0.104166666666667	0	0	2.39583333333333	0	0	0	0.104166666666667	0	0	0.104166666666667	0	0	0.208333333333333	0.625	0	0	0.833333333333333	0.104166666666667	0	0	0	1.77083333333333	0	0	0	0	0	0	0	0.104166666666667	0	0.625	0.3125	0.520833333333333	0.416666666666667	0	0	0.729166666666667	0.208333333333333	0.416666666666667	0.104166666666667	0	0.833333333333333	0	0.625	0	0.208333333333333	0.9375	0.625	0.520833333333333	0	1.04166666666667	0.833333333333333	0	0.104166666666667	0	0	9.375	0.416666666666667	0	1.45833333333333	0	0.3125	0.833333333333333	0	0.104166666666667	0.3125	0.208333333333333	0.208333333333333	0.104166666666667	0.416666666666667	0.208333333333333	0.3125	0	0	0	0.520833333333333	0.104166666666667	0	0	1.5625	0.104166666666667	0	0	0	0	0.104166666666667	0.3125	0	0.104166666666667	0.104166666666667	0.416666666666667	0.3125	0	0	0.3125	0.104166666666667	0	0	0.625	0	1
KL0007	0	0	0	0	0	0.007764577995186	6.40577684602842	4.12299091544375	0	0.590107927634133	0	0.194114449879649	0.287289385821881	0.100939513937417	0	3.18347697802624	1.16468669927789	0.015529155990372	0	0.023293733985558	0.007764577995186	1.2190387452442	0.993865983383803	0.007764577995186	0.892926469446385	0	0	2.49242953645469	0.582343349638947	0	0.194114449879649	0.100939513937417	0.023293733985558	0	0.015529155990372	0	0.652224551595621	0.791986955508968	0	0.023293733985558	0.007764577995186	1.76255920490721	0	0	0	5.63708362450501	0.791986955508968	0.605637083624505	1.16468669927789	0.015529155990372	0	2.97383337215622	0	0	4.89168413696716	1.94890907679168	0	0	0.170820715894091	0	0.349406009783368	2.09643605870021	2.15078810466651	0.046587467971116	0	0.147526981908533	0.085410357947046	0	0.031058311980744	0	0.473639257706344	0	0	0.093174935942232	0.450345523720786	0	0.318347697802624	0.139762403913347	0.085410357947046	0	0.093174935942232	0.349406009783368	4.20063669539561	0.80751611149934	1.88679245283019	0.085410357947046	0.434816367730414	0.76869322152341	1.99549654476279	0.015529155990372	0.054352045966302	4.02205140150633	0	1.37433030514792	0	1.01715971736936	0.108704091932603	0.248466495845951	0.986101405388617	0.217408183865207	7.73351968320522	1.4907989750757	1.70820715894091	0.085410357947046	0	0.295053963817067	3.22229986800217	0.248466495845951	0	0.124233247922975	0	0.939513937417501	4.78298004503455	0	0.147526981908533	0.76869322152341	0	0.100939513937417	0.636695395605249	0.295053963817067	1.07151176333566	0	0.093174935942232	0	0.015529155990372	3.57170587778554	0.031058311980744	0	0.046587467971116	0.093174935942232	0.023293733985558	0.535755881667831	0	0	0.007764577995186	0.72987033154748	0.411522633744856	0	0.131997825918161	0.652224551595621	0.163056137898905	0.031058311980744	0	0	0.007764577995186	0.062116623961488	0	0.007764577995186	0.535755881667831	0	1
KL0042	0	0	0	0	0	0	0	0	0	0	0	0	0	6.32911392405063	0	0	0	1.26582278481013	0	0	0	0	0	0	0	0	0	5.06329113924051	0	0	0	0	1.26582278481013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53164556962025	0	0	0	0	5.06329113924051	0	0	0	0	0	0	0	0	24.0506329113924	0	5.06329113924051	0	0	0	0	0	0	0	5.06329113924051	0	0	0	0	0	0	2.53164556962025	0	3.79746835443038	0	0	2.53164556962025	0	0	0	0	1.26582278481013	0	2.53164556962025	0	0	0	0	0	0	1.26582278481013	0	0	0	0	0	17.7215189873418	0	0	2.53164556962025	0	0	0	0	0	0	0	0	1.26582278481013	0	0	0	0	0	0	6.32911392405063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53164556962025	0	0	1
KL0027	0	0	0	0	0	0	0.036721504112809	0.029377203290247	0	0	0	0.756462984723854	0.022032902467685	72.7012338425382	0	0	0	0	0	0	0	0.080787309048179	0.080787309048179	0.036721504112809	0	0	0.007344300822562	1.07226792009401	0.007344300822562	0.04406580493537	0.176263219741481	0.022032902467685	0	0	0	0	0.139541715628672	0	0.051410105757932	0	0.022032902467685	0.051410105757932	0	6.90364277320799	0	0	0	0	0.007344300822562	0	0.007344300822562	0	0	0	0.014688601645123	1.90951821386604	0	0	0.022032902467685	0	0.04406580493537	0	0.117508813160987	0.381903642773208	0.022032902467685	0.073443008225617	0.08813160987074	0	0	0	0.080787309048179	0	0	0.014688601645123	0.007344300822562	0	0.066098707403055	0.073443008225617	0	0.007344300822562	0	0.051410105757932	0	0.183607520564042	0.014688601645123	0	0.38924794359577	0.007344300822562	0.036721504112809	0	0.007344300822562	2.10047003525264	0	0.036721504112809	0.007344300822562	0.073443008225617	3.32696827262045	0.080787309048179	0.022032902467685	0	2.78349001175088	0.455346650998825	0.058754406580494	0.058754406580494	0	0	0.198296122209166	0.183607520564042	0	0.08813160987074	0	0.675675675675676	0.418625146886016	0	0	0.007344300822562	0	0.352526439482961	0	0.102820211515864	0.117508813160987	0.007344300822562	0.051410105757932	0	0	0.249706227967098	0.014688601645123	0	0.014688601645123	1.23384253819036	0.007344300822562	0.991480611045828	0	0	0	0.014688601645123	0.007344300822562	0	0	0.022032902467685	0.323149236192714	0	0	0.014688601645123	0.014688601645123	0	0	0.014688601645123	0	0	1
TT0009	0	0	0	0	0	0	0	0	0	0	0	0	0.009305788200261	93.3370556486134	0	0	0.009305788200261	0.009305788200261	0	0	0	0.037223152801042	0.009305788200261	0.009305788200261	0	0	0	0.046528941001303	0	0	0	0.018611576400521	0	0	0	0	0	0	0.083752093802345	0	0.083752093802345	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074446305602085	0.102363670202866	0	0	0.009305788200261	0	0.037223152801042	0.009305788200261	0.074446305602085	0.018611576400521	0.027917364600782	0	0.037223152801042	0	0	0	0.15819839940443	0	0	0	0	0	0	0	0.009305788200261	0	0	0.009305788200261	0	0.037223152801042	0	0	0.083752093802345	0.027917364600782	0	0	0.009305788200261	0.186115764005211	0	0	0	0.037223152801042	4.65289410013028	0	0	0	0.065140517401824	0.027917364600782	0.037223152801042	0.009305788200261	0	0	0.009305788200261	0	0	0.139586823003908	0	0.204727340405732	0	0	0	0	0	0.037223152801042	0	0.083752093802345	0.018611576400521	0	0.009305788200261	0	0	0.065140517401824	0	0	0	0	0	0.009305788200261	0	0	0	0	0	0	0	0	0	0	0	0.018611576400521	0.009305788200261	0	0	0	0	0	1
