,params,mean_train_Acc,mean_test_Acc
0,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.001, 'n_estimators': 150}",1.0,0.5134539044910534
1,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.011183673469387756, 'n_estimators': 150}",1.0,0.522508689813169
2,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.02136734693877551, 'n_estimators': 150}",0.9997297297297297,0.5252555595054708
3,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.031551020408163266, 'n_estimators': 150}",1.0,0.5156828415689063
4,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.04173469387755102, 'n_estimators': 150}",0.9997222222222223,0.5222629063475135
5,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.051918367346938776, 'n_estimators': 150}",0.9987600893159216,0.5233518979341945
6,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.06210204081632653, 'n_estimators': 150}",0.9981415983709104,0.5255258324446024
7,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.07228571428571429, 'n_estimators': 150}",0.9951878127949912,0.5356765217047833
8,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.08246938775510204, 'n_estimators': 150}",0.993197276467466,0.5314780582217483
9,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.0926530612244898, 'n_estimators': 150}",0.9863931307749851,0.5415693012600229
10,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.10283673469387755, 'n_estimators': 150}",0.9826414311334551,0.5461989967215704
11,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.1130204081632653, 'n_estimators': 150}",0.9729961370714113,0.5400350554963068
12,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.12320408163265306, 'n_estimators': 150}",0.96704797234209,0.5376986807283642
13,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.13338775510204082, 'n_estimators': 150}",0.9586808653832583,0.5405874511198009
14,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.14357142857142857, 'n_estimators': 150}",0.9425995437112087,0.5585958051901884
15,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.15375510204081633, 'n_estimators': 150}",0.9344370417276697,0.5534748390409606
16,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.16393877551020408, 'n_estimators': 150}",0.9220562625722146,0.545762827349212
17,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.17412244897959184, 'n_estimators': 150}",0.9116091076833848,0.5468319706126318
18,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.1843061224489796, 'n_estimators': 150}",0.8992562263873332,0.558550183671051
19,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.19448979591836735, 'n_estimators': 150}",0.8870901377805664,0.572391871074772
20,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.2046734693877551, 'n_estimators': 150}",0.8850908685355345,0.5568388829640161
21,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.21485714285714286, 'n_estimators': 150}",0.8693280657812064,0.5736976142512936
22,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.2250408163265306, 'n_estimators': 150}",0.8620159277636844,0.5624962475806768
23,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.23522448979591837, 'n_estimators': 150}",0.8502335165246433,0.5687885610459374
24,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.24540816326530612, 'n_estimators': 150}",0.8446354811584124,0.5562733538728918
25,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.2555918367346939, 'n_estimators': 150}",0.8363259748852969,0.5679398230438045
